question,answer,srno
Divisional Accountant is responsible for examining the Accounts Returns of Sub Divisional Officers,,02:
"It is not necessary that the Divisional Accountant should check personally the arithmetical accuracy of all vouchers and accounts, but he is responsible to ensure that a cent per cent check is exercised efficiently under his supervision.",,03:
"The Divisional Accountant should exercise a similar check from day to day, upon- (i) the transactions recorded direct in the accounts of the Divisional Office; and (ii) bills and vouchers of Sub Divisions, which are submitted to the Divisional Officer for approval before payment is made by the Sub Divisional Officer; in respect of charges this examination should be conducted before the payment is made.",,04:
The cash and stock accounts of the entire division as also all transfer transactions should be scrutinised by the Divisional Accountant before they are included in the monthly Account and connected registers and schedules.,,05:
The Divisional Accountant should bring to the Divisional Officer's notice all instances in which subordinate officers exceed the financial limitations on their powers placed by the Divisional Officer or higher authority.,,06:
"If the Divisional Officer is allowed a lump sum provision for expenditure on a group of works, and he has made out of it allotments for individual works, expenditure should be watched against individual allotmentand excesses brought to the Divisional Officer's notice.",,07:
The Divisional Accountant must also conduct detailed check of muster rolls and petty vouchers which are not submitted to the Accountant General's office.,,08:
The Divisional Accountant should conduct personally a test check of the computed and checked tenders sufficient to satisfy himself reasonably that the checking work has been properly done and the comparative statement correctly incorporates the totals as checked on the individual tenders.,,09:
"It is the duty of Divisional Accountant to bring any objectionable transaction the notice of the Divisional Officer with a statement of his reasons, and to obtain the orders of Divisional officer.",,10:
It will then be his duty to comply with the orders of the Divisional Officer,,11:
"If objection of the Divisional Accountant has been overruled and is not satisfied with the decision, he should at the same time make a brief note of the case in the Register of Divisional Accountant's Objections (Form 23)",,12:
Divisional Officer may either accept the Divisional Accountant's advice on reconsideration and order for appropriate action accordingly or record his reason for disregarding that advice for the information of the Accountant General.,,13:
"An objection entered in this register (Form 23) should not be considered as finally disposed of until it has been reviewed by the Accountant General, for whose inspection the register should be available at all times.",,14:
The records of examination of accounts and vouchers received from Sub-Divisional Officers should be retained so as to be available for the Accountant General's inspection.,,15:
"The Divisional Accountant will be responsible, as far as possible, for explaining personally the defects of procedure and for imparting necessary instructions thereon to",the Sub Divisional Officers and their staff.,16:
"The Works Accounts Department should be divided into sections, each headed by a Section Officer.",,17:
The primary responsibility of checking and compiling the accounts of Public Works/Irrigation Divisions and other work connected therewith rests with the Clerk/Accountant/Sr. Accountant.,,18:
It is complete in all respects with supporting schedules and vouchers as described in the list of accounts from C.P.W.A. 83.,,19:
"figures of receipts and disbursement as shown in form C.P.W.A. 80 tally with the totals of the items concerned as appearing in various schedules, i.e. form C.P.W.A. 74, 76, 79, 77 etc.",,20:
The monthly account form C.P.W.A. 80/83 is signed by the Divisional Offices.,,21:
"Points of attention: CPWA Form 80 Schedule of Revenue Realised (CPWA Form 46) Classified Abstract of Expenditure (CPWA Form 64,62,73 etc.) (iv)Schedule of Works Expenditure from schedule docket CPWA & figure shown Form 61 Schedule of Deposit Work Form CPWA 65 Schedule of Takavi Works Forms CPWA 66 Schedule of Debit/Credit to Misc. Heads of Accounts CPWA Form 40 Schedule of Debit/Credit to Remittance CPWA Form 77 & 77A Schedule of Settlement with Treasuries CPWA Form 51 Stock Accounts CPWA 73 (with reference to Month’s Receipt CPWA 72 & Schedule Docket)",,22:
"Whenever a Divisional Accountant is relieved of his duties in a divisional office, it should be seen that the memorandum referred to in paragraph 7.21 of the Manual of Standing Orders (Administrative) is received from the Divisional Officer.",,23:
"Copies of Sub Divisional cash books or of other accounts records which were submitted to the divisional office should be treated as original accountrecords, and not as copies.",,24:
WORKS REGISTER in Form 15-Works Register should be maintained for each divisional office in two part. (i) Part I contains sanctions to works and (ii)Part II contains sanctions to contracts.,,25:
In Part-I-sanctions to works-only those sanctions would be registered where the cost of work is Rupees one crore and above and where more than one public works/Irrigation Divisions are engaged in the construction/execution.,,26:
"In case of Irrigation etc., projects where centralised Accounting organisations has been set up and if that organisation is maintaining identical records, no register need be maintained by the R.A.O's/or by the Accountant General (A&E).",,27:
Part I shows month by month the progress of expenditure on each work.,,28:
"In part II-sanctions to contracts-all sanctions relating to construction for works, supplies, carriages etc., as communicated by the authorities higher than the Divisional Officerin respect of sanction works registered in Part I of the Register.",,29:
The Work Register shall be closed monthly and will continue till the work for which it is meant is reported to be completed.,,30:
"These columns are intended for a record of orders of appropriation and re-appropriation. In cases in which funds are allotted for each work, individually, the order will be noted against the work concerned. (Column No. 5 & 6 of Form 15 “Allotment”)",,31:
"in other cases, (where all the works relating to the groups are included in the Works Audit Register) it will be noted in a suitable place assigned to the total of the group of works included in the unit for which a lump sum allotment is made(Column No. 5 & 6 of Form 15 “Allotment”)",,32:
"Expenditure of the month should be entered in black ink, and underneath it should be noted, in blue or green ink, the expenditure to date.",,33:
The figures should be prefixed by a red ink minus sign when they represent minus expenditure.,,34:
"When the expenditure on a work is incurred for the first time, the progressive expenditure need not be entered.",,35:
"When it is entered for last time, i.e. when the work is reported as ""completed"" a line should be drawn through the space for the remaining month of the year and the word ""completed"", noted against it in the column for ""Remarks"".",,36:
The Accountant General will make suitable arrangements for ensuring the accuracy of the postings in the Works Register.,,37:
A register in Form 16-Register of Land charges should be kept to verify the Land Award Statements which are submitted to the Accountant General,,38:
The Gazetted Officer-in-charge should review this Register once a month and enquire into the causes of delays in the disposal of the statement.,,39:
A Broadsheet should be maintained in Form 17 to verify the accuracy of the monthly transactions under each Suspense and balanced head “Deposit” by a comparison of the results brought out in the Divisional schedules with the Department Consolidated Abstract or Detailed book and the Ledger.,,40:
Broadsheets of transactions passed through the Remittance heads should be maintained.,,41:
All transactions relating to services rendered or supplies made by one Division to another (whether the Divisions fall within the same Account circle or in different Account circles) including those pertaining to works done by a division on behalf of another division are settled by the divisions amongst themselves without the intervention of the Accountant General.,,42:
(i)                  Part of Remittance Remittance into Treasuries Cheque drawn and encashed by the Divisions) and (iii) Other Remittance,,43:
(i)    Part of other remittance: Item adjusted by Civil Officer and Items adjustable by Public Works Officers,,44:
On receipt of Form CP.W.A. 51 (P.W.A.26) it should be seen that the figures in line 4 of part I and part II are supported by original Consolidated Receipt/Certificate of issue of cheques signed by Treasury Officers.,,45:
Broadsheets in Form 19 (Cheque Remittance) and 20 (cash Remittance) should be posted from Form CP.W.A. 51 (P.W.A.26) in respect of transactions with treasuries in account with the Accountant General.,,46:
"At the close of the year, the outstanding differences should represent merely the amounts of cheques drawn upto 31st March remaining uncashed by that date and cash remittances in transit on that date.",,47:
All other differences should form the subject of enquiry and be adjusted before the accounts of the year are closed.,,48:
"If the Schedule of Settlement with the treasuries Form P.W.A. 26 is not receivedwith the monthly accounts, pairing of debits and credits may be done with reference to the cheque-wise and challan-wise details received along-with the monthly accounts from P.W. Divisions and Treasury Officers,",,49:
"The financial results of Irrigation, Navigation, Embankment and Drainage Works for which capital and Revenue Accounts are kept, are compiled by the Central Government yearly in Form 18.",,50:
"Each Accountant General should prepare a statement in this form 18 and submit it, in the case of State through the State Governmentso as to reach the Central Government not later than the 1st November.",,51:
"The figures for this return should be obtained from the Administrative Accounts, (Form AC, 33 of Accounts Code for Accountants General). Other figures should be based on information supplied by the Public Works Department authorities.",,52:
Objection Book should be maintained in Form 22 in each Works Accounts Section for each division in respect of objections relating to Non-receipt of vouchers and stamped Receipts.,,53:
"Objections regarding “vouchers awaited” should be recorded in the objection book as two item viz. (1) number of awaited vouchers, and (2) amount of awaited vouchers.",,54:
Amount placed under objection for the month and progressive total up to that date should be shown in Black Ink and Green Ink respectively.,,55:
An objection should be removed as soon as the necessary vouchers or document is received.,,56:
"Brief notes of, or references to all correspondence or other action taken towards clearance of any objection should be kept in the column “Remarks”of the Objection Book.",,57:
All entries regarding the adjustment of objections should be attested by the Section Officer.,,58:
The progressive totals of each class of objections should be carried forward from month to month and the unadjusted balance from year to year.,,59:
"The Objection Book should be closed annually and the balances of outstanding objections should be carried forward to the following year’s Book,",,60:
"If the outstanding balances thus brought forward relate to two or more years, the balances of each year should similarly be registered in a separate section.",,61:
The Section Officer is however responsible to see that any correction due to the Supplementary Accountare carried out neatly in the new Objection Book in due course by plus or minus entries as the case may be made with suitable remarks.,,62:
An annual review on the working of all Public Works Divisions is required to be conducted each year and is required to be sent to State Government by 15th December every year.,,63:
"Statement showing the delay in the receipt of accounts, vouchers.",,64:
Statement showing the name of Divisions from which some schedules for the month have not been received,,65:
Statement showing amounts held under objection to end of March (Position as on 30 September).,,66:
Amount outstanding under III OR items adjustable by Public Works Department. (For Works Miscellaneous Remittances issued during the year).,,67:
Statement showing the Arrears in reconciliation.,,68:
Common types of irregularities noticed in Central Audit.,,69:
Details of Audit Notes and Inspection Report not replied.,,70:
Important irregularities noticed in the local Inspection of Public Works/ Irrigation Division.,,71:
